Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Drew Eubanks,SAC,PHX,L,21.9,1,4,0.25,0,0,0.0,2,4,0.5,1,3,4,0,2,4,2,1,4,4.8,2025-10-22
Cam Whitmore,WAS,MIL,L,19.45,6,12,0.5,1,5,0.2,1,1,1.0,2,3,5,1,0,0,0,1,14,10.6,2025-10-22
Kawhi Leonard,LAC,UTA,L,29.1,3,9,0.333,1,5,0.2,3,3,1.0,1,3,4,2,1,1,2,2,10,6.799999999999999,2025-10-22
Ryan Rollins,MIL,WAS,W,29.475,2,9,0.222,1,6,0.167,4,4,1.0,2,2,4,3,2,0,2,3,9,6.399999999999999,2025-10-22
Keldon Johnson,SAS,DAL,W,24.65,5,6,0.833,1,1,1.0,0,0,0.0,2,3,5,2,1,0,0,2,11,12.700000000000001,2025-10-22
Mark Williams,PHX,SAC,W,23.64666666666667,3,5,0.6,0,0,0.0,0,0,0.0,2,9,11,0,0,2,1,2,6,7.399999999999999,2025-10-22
Kyle Filipowski,UTA,LAC,W,24.533333333333335,4,10,0.4,1,6,0.167,0,0,0.0,2,2,4,5,0,1,0,5,9,7.799999999999999,2025-10-22
Terrence Shannon Jr.,MIN,POR,W,25.466666666666665,4,7,0.571,2,2,1.0,0,0,0.0,1,4,5,5,1,0,2,3,10,9.899999999999999,2025-10-22
Quentin Grimes,PHI,BOS,W,31.633333333333333,3,8,0.375,2,5,0.4,2,4,0.5,0,5,5,5,0,0,5,3,10,3.6000000000000014,2025-10-22
Jordan Poole,NOP,MEM,L,31.216666666666665,6,14,0.429,3,7,0.429,2,2,1.0,0,0,0,2,0,0,0,3,17,9.8,2025-10-22
Donte DiVincenzo,MIN,POR,W,20.366666666666667,3,6,0.5,1,3,0.333,0,0,0.0,0,4,4,2,2,2,6,1,7,3.5999999999999996,2025-10-22
Zaccharie Risacher,ATL,TOR,L,20.6,7,13,0.538,2,6,0.333,0,0,0.0,2,0,2,0,0,1,0,1,16,11.4,2025-10-22
Collin Sexton,CHA,BKN,W,17.183333333333334,4,9,0.444,1,2,0.5,6,7,0.857,0,1,1,3,1,0,1,2,15,11.5,2025-10-22
Wendell Carter Jr.,ORL,MIA,W,29.5,2,5,0.4,0,1,0.0,5,5,1.0,5,3,8,1,1,1,2,4,9,9.5,2025-10-22
Cooper Flagg,DAL,SAS,L,31.533333333333335,4,13,0.308,0,1,0.0,2,2,1.0,1,9,10,0,1,0,3,3,10,2.7,2025-10-22
Bub Carrington,WAS,MIL,L,29.016666666666666,4,9,0.444,3,4,0.75,0,0,0.0,0,5,5,2,1,0,1,3,11,8.0,2025-10-22
Dominick Barlow,PHI,BOS,W,34.4,4,8,0.5,0,3,0.0,5,6,0.833,5,3,8,5,0,1,2,3,13,14.0,2025-10-22
Nic Claxton,BKN,CHA,L,22.983333333333334,8,12,0.667,0,1,0.0,1,2,0.5,2,2,4,2,0,0,1,0,17,13.8,2025-10-22
Michael Porter Jr.,BKN,CHA,L,25.3,5,15,0.333,2,7,0.286,0,2,0.0,1,3,4,5,0,0,0,2,12,7.000000000000001,2025-10-22
