player,tm,opp,res,mp,fg,fga,fg_pct,3p,3pa,3p_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,game_date,game_id,matchup_id,is_home,won
Chet Holmgren,OKC,HOU,W,38.498333333333335,11,17,0.647,2,5,0.4,4,4,1.0,2,5,7,2,0,0,3,6,28,19.4,2025-10-21,20251021_Chet_Holmgren_OKC_HOU,20251021_HOU_OKC,,1
Chris Youngblood,OKC,HOU,W,0.0933333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-21,20251021_Chris_Youngblood_OKC_HOU,20251021_HOU_OKC,,1
Clint Capela,HOU,OKC,L,7.86,1,1,1.0,0,0,0.0,2,2,1.0,0,0,0,0,1,0,1,0,4,3.7,2025-10-21,20251021_Clint_Capela_HOU_OKC,20251021_HOU_OKC,,0
Deandre Ayton,LAL,GSW,L,33.88333333333333,5,7,0.714,0,0,0.0,0,2,0.0,2,4,6,0,0,1,4,3,10,4.399999999999999,2025-10-21,20251021_Deandre_Ayton_LAL_GSW,20251021_GSW_LAL,,0
Draymond Green,GSW,LAL,W,28.40333333333333,3,6,0.5,1,3,0.333,1,3,0.333,1,6,7,9,1,2,4,5,8,9.4,2025-10-21,20251021_Draymond_Green_GSW_LAL,20251021_GSW_LAL,,1
Gabe Vincent,LAL,GSW,L,28.73333333333333,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0,1,1,0,0,3,3,1.0999999999999996,2025-10-21,20251021_Gabe_Vincent_LAL_GSW,20251021_GSW_LAL,,0
Gary Payton II,GSW,LAL,W,12.07,3,6,0.5,0,1,0.0,0,0,0.0,1,1,2,1,1,1,3,3,6,2.200000000000001,2025-10-21,20251021_Gary_Payton_II_GSW_LAL,20251021_GSW_LAL,,1
Gui Santos,GSW,LAL,W,2.6466666666666665,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0,2025-10-21,20251021_Gui_Santos_GSW_LAL,20251021_GSW_LAL,,1
Isaiah Hartenstein,OKC,HOU,W,36.84166666666667,2,5,0.4,0,1,0.0,2,2,1.0,5,3,8,5,2,0,1,6,6,9.8,2025-10-21,20251021_Isaiah_Hartenstein_OKC_HOU,20251021_HOU_OKC,,1
Jabari Smith Jr.,HOU,OKC,L,41.75,7,15,0.467,2,6,0.333,0,0,0.0,3,2,5,0,1,0,0,4,16,10.4,2025-10-21,20251021_Jabari_Smith_Jr._HOU_OKC,20251021_HOU_OKC,,0
