Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Giannis Antetokounmpo,MIL,TOR,W,38,11,14,0.786,2,2,1.0,7,12,0.583,7,13,20,7,0,1,5,2,31,32.2,2025-10-24
Goga Bitadze,ORL,ATL,L,17,1,3,0.333,0,1,0.0,1,1,1.0,2,3,5,0,0,2,0,2,3,4.2,2025-10-24
Gradey Dick,TOR,MIL,L,18,2,7,0.286,1,3,0.333,0,0,,1,3,4,1,1,0,1,1,5,2.8,2025-10-24
Grayson Allen,PHX,LAC,L,29,4,12,0.333,3,9,0.333,1,1,1.0,1,0,1,5,1,1,0,2,12,10.3,2025-10-24
Guerschon Yabusele,NYK,BOS,W,13,1,2,0.5,1,2,0.5,0,0,,3,2,5,1,0,0,0,0,3,5.4,2025-10-24
Gui Santos,GSW,POR,L,11,1,2,0.5,1,2,0.5,0,0,,1,0,1,1,1,0,2,2,3,1.6,2025-10-24
Harrison Barnes,SAS,NOP,W,34,2,5,0.4,1,3,0.333,2,2,1.0,0,1,1,5,1,2,0,2,7,9.7,2025-10-24
Herbert Jones,NOP,SAS,L,28,0,8,0.0,0,5,0.0,0,0,,2,5,7,2,1,0,2,5,0,-4.3,2025-10-24
Hugo González,BOS,NYK,L,23,3,6,0.5,0,2,0.0,0,0,,1,3,4,1,2,0,0,4,6,5.7,2025-10-24
Immanuel Quickley,TOR,MIL,L,37,6,14,0.429,1,4,0.25,6,10,0.6,3,4,7,8,2,0,2,2,19,18.1,2025-10-24
Isaac Jones,SAC,UTA,W,14,1,2,0.5,0,1,0.0,0,0,,2,0,2,1,0,0,0,4,2,1.5,2025-10-24
Isaiah Stewart,DET,HOU,W,17,1,4,0.25,1,3,0.333,1,4,0.25,1,3,4,0,0,2,1,6,4,-0.0,2025-10-24
Ivica Zubac,LAC,PHX,W,25,3,5,0.6,0,0,,2,3,0.667,0,5,5,4,0,0,3,2,8,5.8,2025-10-24
Ja Morant,MEM,MIA,L,22,4,16,0.25,0,4,0.0,4,4,1.0,1,1,2,6,0,0,3,2,12,3.8,2025-10-24
Jabari Smith Jr.,HOU,DET,L,40,3,14,0.214,3,9,0.333,2,2,1.0,0,6,6,2,1,1,2,4,11,3.7,2025-10-24
Jaden Hardy,DAL,WAS,L,11,3,7,0.429,2,5,0.4,1,2,0.5,0,1,1,0,0,0,0,1,9,4.8,2025-10-24
Jaden McDaniels,MIN,LAL,L,27,5,12,0.417,0,4,0.0,0,0,,1,1,2,0,0,1,0,5,10,3.3,2025-10-24
Jahmir Young,MIA,MEM,W,7,1,3,0.333,0,1,0.0,0,0,,0,1,1,1,0,0,1,1,2,-0.1,2025-10-24
Jaime Jaquez Jr.,MIA,MEM,W,27,8,12,0.667,0,1,0.0,1,1,1.0,3,7,10,6,2,0,3,2,17,18.4,2025-10-24
Jake LaRavia,LAL,MIN,W,28,2,3,0.667,1,2,0.5,1,2,0.5,0,0,0,1,1,0,1,2,6,4.2,2025-10-24
Jakob Poeltl,TOR,MIL,L,27,3,5,0.6,0,0,,0,2,0.0,2,3,5,2,0,0,1,5,6,3.6,2025-10-24
Jalen Brunson,NYK,BOS,W,35,10,20,0.5,3,7,0.429,8,9,0.889,0,3,3,5,0,0,1,1,31,23.6,2025-10-24
Jalen Duren,DET,HOU,W,12,3,4,0.75,0,0,,0,0,,3,3,6,0,1,1,1,2,6,7.3,2025-10-24
Jalen Johnson,ATL,ORL,W,26,5,10,0.5,0,0,,2,2,1.0,2,6,8,1,1,0,3,5,12,6.9,2025-10-24
Jalen Suggs,ORL,ATL,L,19,4,5,0.8,3,4,0.75,0,0,,0,3,3,4,0,0,4,4,11,7.2,2025-10-24
Jamal Shead,TOR,MIL,L,12,1,6,0.167,0,2,0.0,2,2,1.0,0,0,0,4,1,0,0,0,4,4.0,2025-10-24
James Harden,LAC,PHX,W,28,8,12,0.667,5,7,0.714,9,9,1.0,0,7,7,7,0,1,4,2,30,27.7,2025-10-24
Jamison Battle,TOR,MIL,L,11,3,3,1.0,3,3,1.0,0,0,,0,2,2,0,1,0,1,1,9,8.3,2025-10-24
Jaren Jackson Jr.,MEM,MIA,L,21,7,14,0.5,1,4,0.25,4,4,1.0,0,3,3,1,1,1,3,4,19,10.7,2025-10-24
Jarred Vanderbilt,LAL,MIN,W,20,0,2,0.0,0,1,0.0,2,2,1.0,1,6,7,0,2,2,1,2,2,4.7,2025-10-24
Jarrett Allen,CLE,BKN,W,30,8,11,0.727,0,1,0.0,6,9,0.667,2,5,7,4,2,1,2,2,22,21.9,2025-10-24
Javon Small,MEM,MIA,L,22,2,9,0.222,2,6,0.333,3,4,0.75,0,2,2,8,0,0,3,2,9,5.5,2025-10-24
Javonte Green,DET,HOU,W,20,2,6,0.333,1,2,0.5,2,3,0.667,0,4,4,2,1,0,1,0,7,5.8,2025-10-24
Jaylen Brown,BOS,NYK,L,35,9,18,0.5,3,7,0.429,2,4,0.5,0,4,4,3,1,1,7,5,23,9.2,2025-10-24
Jaylen Clark,MIN,LAL,L,13,3,5,0.6,1,1,1.0,2,2,1.0,2,1,3,1,0,0,0,4,9,7.5,2025-10-24
Jaylen Wells,MEM,MIA,L,22,3,9,0.333,3,7,0.429,0,0,,1,3,4,1,0,0,1,2,9,4.4,2025-10-24
Jaylon Tyson,CLE,BKN,W,23,3,4,0.75,2,3,0.667,0,0,,1,3,4,1,3,1,1,3,8,10.2,2025-10-24
Jerami Grant,POR,GSW,W,28,6,10,0.6,2,4,0.5,8,10,0.8,0,2,2,2,1,0,2,4,22,16.0,2025-10-24
Jeremiah Fears,NOP,SAS,L,29,5,8,0.625,0,1,0.0,3,4,0.75,1,3,4,1,2,0,2,2,13,10.5,2025-10-24
Jett Howard,ORL,ATL,L,4,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,3,2.0,2025-10-24
Jimmy Butler III,GSW,POR,L,27,3,7,0.429,0,2,0.0,8,10,0.8,1,2,3,4,1,0,1,1,14,13.2,2025-10-24
Joan Beringer,MIN,LAL,L,5,1,1,1.0,0,0,,0,0,,1,3,4,0,0,0,0,0,2,3.3,2025-10-24
Jock Landale,MEM,MIA,L,18,1,3,0.333,0,2,0.0,2,2,1.0,3,2,5,0,0,1,2,2,4,2.9,2025-10-24
Joe Ingles,MIN,LAL,L,4,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,0.0,2025-10-24
